X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Zirconium,Ecosystem Quality,1584,0.6507692557924842,1.9070067578379608e-191,0.4235006242847039,0.43688206277770536,-0.1316387806379682,0.7385182286602027
Zirconium,Human Health,1582,0.6294718633549536,2.448584668624096e-175,0.39623482675555743,0.4755749381183885,2.9088359071504803,810.6547040327398
Zirconium,Natural Resources,1584,0.5026928503677695,3.424858090909896e-102,0.25270010181087266,0.39313182381733586,6.544768247390712,3505647.521251601
Zinc,Ecosystem Quality,1584,0.8028633621076279,0.0,0.644589578214764,0.5548498325007248,-4.950009145028337,1.1219948279770729e-05
Zinc,Human Health,1582,0.8554420730018216,0.0,0.7317811402616538,0.6655570590926237,-2.3569031612836624,0.00439639635084543
Zinc,Natural Resources,1584,0.7680370529248508,1.692348807507388e-308,0.5898809146654902,0.6183214290898318,2.1707389142246676,148.16271043093016
Water,Ecosystem Quality,1584,0.8470070272343624,0.0,0.7174209041843921,0.6364235054093886,-7.172286693878316,6.725325460623411e-08
Water,Human Health,1582,0.8948176907430261,0.0,0.800698699666682,0.7575613120707434,-5.001336349340626,9.969276712204161e-06
Water,Natural Resources,1584,0.8261332587039076,0.0,0.6824961611367379,0.7231153994347543,-0.3581350650593609,0.4383943364628057
Waste - Total,Ecosystem Quality,1584,0.8323707506146172,0.0,0.6928410664787412,0.6436990878207173,-7.3400415805027155,4.5704442887719545e-08
Waste - Total,Human Health,1582,0.882635509336117,0.0,0.7790454423410261,0.7688815581692975,-5.211422848824133,6.145782000728822e-06
Waste - Total,Natural Resources,1584,0.8408065276745851,0.0,0.7069556169801929,0.7574613258247155,-0.6527827928489796,0.22244221304114226
Waste - Recycled,Ecosystem Quality,1584,0.8519482742619426,0.0,0.7258158620179023,0.6957174128674082,-6.025096707752667,9.438506782630066e-07
Waste - Recycled,Human Health,1582,0.8806553967568577,0.0,0.7755539278369787,0.8097153565936304,-3.601968412509787,0.00025005272256394716
Waste - Recycled,Natural Resources,1584,0.8016431679614042,0.0,0.642631768739196,0.7626039447635666,0.9955405917673323,9.897843707302817
Waste - Radioactive,Ecosystem Quality,1584,0.8189250455206327,0.0,0.6706382301809708,0.5541287031196723,-4.16469306110579,6.843951746837934e-05
Waste - Radioactive,Human Health,1582,0.8813739359999486,0.0,0.7768200150600413,0.6718144019192047,-1.4076981204288237,0.03911126650710424
Waste - Radioactive,Natural Resources,1584,0.8512265965564936,0.0,0.7245867186851515,0.6709806311884909,3.104488256727296,1272.0033547966545
Waste - Openly Burned,Ecosystem Quality,1584,0.7874332629300863,0.0,0.6200511435687223,0.6377628050325609,-4.931138622741192,1.1718212714456262e-05
Waste - Openly Burned,Human Health,1582,0.8030970596379262,0.0,0.6449648871990825,0.7323705904430478,-2.3262213053533403,0.004718225512979581
Waste - Openly Burned,Natural Resources,1584,0.7279104864541208,1.5006709724745687e-261,0.5298536762898751,0.6867864415293375,2.19773834343478,157.66610664678137
Waste - Landfilled,Ecosystem Quality,1584,0.862362491695138,0.0,0.7436690670826472,0.8491398609209045,-7.1864363748904845,6.509739729927309e-08
Waste - Landfilled,Human Health,1582,0.8973848677129964,0.0,0.8052996008002715,0.9952025869584781,-4.973599997810631,1.0626738707596262e-05
Waste - Landfilled,Natural Resources,1584,0.825828876988564,0.0,0.681993334068193,0.9472786312303287,-0.32437191885110384,0.47383603022349097
Waste - Incinerated,Ecosystem Quality,1584,0.8156136964868246,0.0,0.6652257018969022,0.667832514860765,-5.693739872287359,2.0242312617370557e-06
Waste - Incinerated,Human Health,1582,0.8419875592347992,0.0,0.7089430499061744,0.7765660832324222,-3.215675332568652,0.000608589797405666
Waste - Incinerated,Natural Resources,1584,0.817920811438437,0.0,0.6689944537841113,0.780176050296003,1.2923176004579051,19.60277704615376
Waste - Hazardous %,Ecosystem Quality,1584,-0.03102956800191286,0.2170972812692661,0.0009628340903853339,-0.044996028463326336,-4.817744399073428,1.5214427005571791e-05
Waste - Hazardous %,Human Health,1582,-0.03445833164284269,0.1707238361496726,0.0011873766196081048,-0.056235316998754926,-2.199701323486466,0.006313914208142616
Waste - Hazardous %,Natural Resources,1584,0.08204628396704379,0.0010818243536815076,0.00673159271280066,0.13859758896089622,2.509833377261152,323.46952981823995
Waste - Hazardous,Ecosystem Quality,1584,0.8233184215625622,0.0,0.6778532232842689,0.6425484681776878,-5.397733957540367,4.001898251334035e-06
Waste - Hazardous,Human Health,1582,0.8720304861280187,0.0,0.7604371687366691,0.7664888887611564,-2.890234070280637,0.0012875554151084278
Waste - Hazardous,Natural Resources,1584,0.892688555370217,0.0,0.7968928568889649,0.8115893377211447,1.5787663875786484,37.91110015773405
Waste - Digested,Ecosystem Quality,1584,0.6135246998276502,1.8958141519165264e-164,0.37641255729860823,0.4153591623502442,-4.0358780378600905,9.207080962532306e-05
Waste - Digested,Human Health,1582,0.5722561705340787,2.709995755074148e-138,0.32747712471432877,0.43617987139540115,-1.3700815844400234,0.04264993911832803
